wavelength(Angstrom),flux(erg/s/cm2),flux_smooth(erg/s/cm2)
3543.0,2.7360547308636583e-17,1.9761301820499978e-17
3544.0,2.0877103919467562e-17,2.0177216504297766e-17
3545.0,1.3575201614074257e-17,1.878146833462274e-17
3546.0,1.4581416124192874e-17,1.6251543048574205e-17
3547.0,1.751307076956835e-17,1.5774549348345502e-17
3548.0,1.4710919826975375e-17,1.679592880766883e-17
3549.0,1.8492136928547817e-17,1.851631062618519e-17
3550.0,1.8682101484405467e-17,1.7740416865971676e-17
3551.0,2.3183328898955582e-17,1.97206855980624e-17
3552.0,1.3633603459959513e-17,1.923093677278813e-17
3553.0,2.4612255864204208e-17,1.9949237255672026e-17
3554.0,1.6043397171958527e-17,1.917302916682574e-17
3555.0,2.227360534365947e-17,2.0499388463636145e-17
3556.0,1.9302285230227168e-17,1.8909456336441845e-17
3557.0,2.0265394923218542e-17,1.8754828155814857e-17
3558.0,1.6662597559896994e-17,1.82832342906249e-17
3559.0,1.5270261894869214e-17,1.7917183708513033e-17
3560.0,1.9915633356413936e-17,1.6722088048747445e-17
3561.0,1.747203103087975e-17,1.7324318548077902e-17
3562.0,1.4289915101194485e-17,1.7065819643571405e-17
3563.0,1.9673752418738773e-17,1.6463345953140858e-17
3564.0,1.3977766326117925e-17,1.616333250805155e-17
3565.0,1.6903261063350875e-17,1.7418675040551826e-17
3566.0,1.597196375754807e-17,1.527119836507841e-17
3567.0,2.0566634814401228e-17,1.5756543280771447e-17
3568.0,8.936362672302871e-18,1.658975238562876e-17
3569.0,1.6404490855211143e-17,1.867430543190527e-17
3570.0,2.106930659425156e-17,1.8676902779028686e-17
3571.0,2.639473317672473e-17,2.0230892254246332e-17
3572.0,2.0579624325061268e-17,2.1050396630714868e-17
3573.0,1.670630657700618e-17,2.1461435911982268e-17
3574.0,2.0502011773710083e-17,1.9336873793837795e-17
3575.0,2.3124506254424045e-17,1.8078970310161055e-17
3576.0,1.5771916782588592e-17,1.867063109562431e-17
3577.0,1.4290110280464074e-17,2.0161782968428752e-17
3578.0,1.966461303514453e-17,1.9778242479445064e-17
3579.0,2.795777002753266e-17,1.9974103959246595e-17
3580.0,2.1206801342189804e-17,2.1372755532871683e-17
3581.0,1.6751220566598535e-17,2.0768000478311714e-17
3582.0,2.1283366344252274e-17,1.9222648423050347e-17
3583.0,1.6640836724038432e-17,1.8425831956422916e-17
3584.0,2.0231014911504937e-17,1.8086332217612777e-17
3585.0,1.7222717574543547e-17,1.6938205527389175e-17
3586.0,1.5053728222180758e-17,1.7857603543352064e-17
3587.0,1.5542729336921916e-17,1.7634436831530157e-17
3588.0,2.1237832000739375e-17,1.82867597343956e-17
3590.0,1.9115177820442442e-17,1.972716903970359e-17
3591.0,2.0484331107951396e-17,2.117336860929945e-17
3592.0,2.2255778389584002e-17,2.2664398059373236e-17
3593.0,2.2773722314092004e-17,2.418895810275747e-17
3594.0,2.8692981822847355e-17,2.5738479148306104e-17
3595.0,2.6737975798490505e-17,2.6295709367952452e-17
3596.0,2.8231939675984345e-17,2.7988622172687153e-17
3597.0,2.5041927837519217e-17,2.7015985158139126e-17
3598.0,3.123829133837513e-17,2.586226838133589e-17
3599.0,2.3829792755952112e-17,2.2656061733159926e-17
3600.0,2.0969391494850805e-17,2.189287512151645e-17
3601.0,1.2200906296310543e-17,2.0162808672388318e-17
3602.0,2.1225996192532314e-17,2.2055447544746398e-17
3603.0,2.2587954942500624e-17,2.3912342288474837e-17
3604.0,3.329298717194507e-17,2.6585116703227604e-17
3605.0,3.0253866734816495e-17,2.785695818022586e-17
3606.0,2.5564779233972167e-17,2.8855775461161193e-17
3607.0,2.7585208674103928e-17,2.809858756331995e-17
3608.0,2.7582034269302996e-17,2.764256950906437e-17
3609.0,2.9507052909543935e-17,2.825576511459483e-17
3610.0,2.7973772161237157e-17,2.8533208109490015e-17
3611.0,2.863075779489238e-17,2.7675415196827625e-17
3612.0,2.897241493590076e-17,2.6399684316589142e-17
3613.0,2.3293077062813757e-17,2.6429097204810303e-17
3614.0,2.312840087572606e-17,2.5445266782213208e-17
3615.0,2.812084033135029e-17,2.4190872198694918e-17
3616.0,2.3711605274790953e-17,2.4469595669178336e-17
3617.0,2.2700438107821816e-17,2.4561660871355488e-17
3618.0,2.4686699663420902e-17,2.3706083148373515e-17
3619.0,2.3588726117852428e-17,2.3844735162649653e-17
3620.0,2.3842949636675373e-17,2.453566093034172e-17
3621.0,2.440486266589173e-17,2.4622529783910815e-17
3622.0,2.6155064354733853e-17,2.4481627838368532e-17
3623.0,2.5121043189955965e-17,2.4618602330362413e-17
3624.0,2.2884222098359962e-17,2.490380593376457e-17
3625.0,2.452782004314135e-17,2.4954748678969262e-17
3626.0,2.5830879981804637e-17,2.4385903189161446e-17
3627.0,2.6409777613360952e-17,2.4538488233675427e-17
3628.0,2.2276815120553482e-17,2.4274217262854536e-17
3629.0,2.364715003541845e-17,2.461971240674446e-17
3630.0,2.320646610674886e-17,2.445165081296961e-17
3631.0,2.7558354759844312e-17,2.5343277067046644e-17
3632.0,2.55694719543136e-17,2.530504643349567e-17
3633.0,2.6734944826734134e-17,2.4762993323728444e-17
3634.0,2.345599364746879e-17,2.343460578005606e-17
3635.0,2.0496202560352947e-17,2.3150159874095e-17
