Wavelength(Angstrom),Flux(10e-16 erg/s/cm2),Flux_error(10e-16 erg/s/cm2)
3782.91617665,16.0106040635,3.95446092923
3784.06779021,18.9036768586,3.99988280633
3785.21940378,13.423377925,3.9161038363
3786.37101734,24.7310094258,3.7896034361
3787.52263091,23.7675814461,3.91138930386
3788.67424447,21.7163768149,3.71899476962
3789.82585803,29.5003724309,3.63721453265
3790.9774716,21.3916455587,3.59076377522
3792.12908516,20.2036416161,3.53605735823
3793.28069873,31.8876077378,3.53162102317
3794.43231229,20.0994946801,3.65511233883
3795.58392586,18.1727700108,3.49698584595
3796.73553942,33.4298239183,3.33741754418
3797.88715299,19.5627891937,3.54582894207
3799.03876655,29.138716891,3.29438588818
3800.19038012,32.3876578734,3.25558092659
3801.34199368,38.431917696,3.38983061947
3802.49360724,38.0104933938,3.18731615909
3803.64522081,36.6903967806,3.07869424212
3804.79683437,38.1873411676,3.11964960861
3805.94844794,32.6101776638,3.349918427
3807.1000615,31.9491510342,3.09131423894
3808.25167507,34.3622822559,2.90978237285
3809.40328863,27.3426089374,2.91344155518
3810.5549022,28.3954073633,3.02392879752
3811.70651576,25.723833684,2.84731819285
3812.85812933,22.6377707846,2.95944073818
3814.00974289,24.2147576675,2.87080006373
3815.16135645,22.0345562712,2.73687039049
3816.31297002,20.751093833,2.69599072757
3817.46458358,26.5640967204,2.78680536501
3818.61619715,24.6429201169,2.65413830025
3819.76781071,13.9223777397,2.84349913305
3820.91942428,35.0713377712,2.55509712001
3822.07103784,31.0095373858,2.61306620203
3823.22265141,27.3363853628,2.83602697897
3824.37426497,27.8062091276,2.51752776773
3825.52587853,22.0759571241,2.58437137276
3826.6774921,19.3327498684,2.65819241169
3827.82910566,22.4378731266,2.37368542672
3828.98071923,28.1758775992,2.30068283337
3830.13233279,31.1390402531,2.27647277885
3831.28394636,24.6879293301,2.25378341317
3832.43555992,29.630216229,2.26359126061
3833.58717349,24.8557710262,2.19416380804
3834.73878705,29.415264678,2.15600285618
3835.89040062,29.3786665019,2.21192595659
3837.04201418,25.6988673878,2.37130208776
3838.19362774,22.9427831137,2.19844595663
3839.34524131,24.5952152213,2.04675228195
3840.49685487,30.823268488,2.03531998414
3841.64846844,33.6690006116,2.01551278041
3842.800082,24.338519769,2.05044786023
3843.95169557,30.8602817102,1.99207207004
3845.10330913,31.3861875265,2.07101064381
3846.2549227,34.4469664923,1.96350707503
3847.40653626,34.2296644249,1.90862926622
3848.55814983,20.467153566,2.00723991549
3849.70976339,20.862603603,1.9405111893
3850.86137695,28.4833992635,1.84930466678
3852.01299052,22.1453015939,1.96922891494
3853.16460408,28.1506296646,1.82839579082
3854.31621765,27.5657343563,1.9318881292
3855.46783121,25.607760524,1.85248143738
3856.61944478,30.2644152076,1.84880438794
3857.77105834,27.8852944763,1.71884809331
3858.92267191,26.2709386173,1.74652277728
3860.07428547,23.2793707136,1.70495675298
3861.22589904,29.7885711561,1.68984992036
3862.3775126,24.7237715293,1.74262430814
3863.52912616,19.0196229636,1.88240605261
3864.68073973,21.01562434,1.76659150243
3865.83235329,30.7149350916,1.63978590567
3866.98396686,27.4139291115,1.63544499416
3868.13558042,27.2193275271,1.53027447175
3869.28719399,33.3959023663,1.54421398709
3870.43880755,34.7489104446,1.60792052619
3871.59042112,30.3972469144,1.50781671665
3872.74203468,32.5529351772,1.5443867024
3873.89364825,35.0321434391,1.59821194043
3875.04526181,35.2811097157,1.45281979382
3876.19687537,34.3697424985,1.50329660473
3877.34848894,30.065078709,1.58772117268
